airport_id,date_visited,callsign,notes
4N1,8/24/2025,N978FA,Stage 2 check for Chris Neidhardt - Sat
1B1,8/24/2025,N978FA,Stage 2 check for Chris Neidhardt - Sat
4N1,8/23/2025,N680MA,Stage 1 check - sat - for
4N1,8/22/2025,N9563A,"141 annual check, Wings Advanced Stage 8, Flight Review, VOR05, RNAV06, both with holds.  Rich Mardarello."
N82,8/22/2025,N9563A,"141 annual check, Wings Advanced Stage 8, Flight Review, VOR05, RNAV06, both with holds.  Rich Mardarello."
N89,8/22/2025,N9563A,"141 annual check, Wings Advanced Stage 8, Flight Review, VOR05, RNAV06, both with holds.  Rich Mardarello."
4N1,8/17/2025,N283WT,Completion of Flight Review for Sheldon Teperman
N89,8/17/2025,N283WT,Completion of Flight Review for Sheldon Teperman
4N1,8/16/2025,N283WT,"VFR Sheldon’s flight review part 1.  Slow flight, stalls, steep turns, unusual attitudes."
PVC,8/14/2025,N283WT,VFR XC night instruction for Sheldon
4N1,8/14/2025,N283WT,VFR XC night instruction for Sheldon
PVD,8/12/2025,N283WT,From Providence to home
4N1,8/12/2025,N283WT,From Providence to home
N12,8/6/2025,N283WT,IFR solo XC.  Smoke and clouds.   RNAV06.
4N1,8/6/2025,N283WT,IFR solo XC.  Smoke and clouds.   RNAV06.
ISP,8/3/2025,N283WT,VFR XC solo home
4N1,8/3/2025,N283WT,VFR XC solo home
PVC,8/3/2025,N283WT,Bring Peter home VFR XC to Islip
4N1,8/2/2025,N283WT,Flight Review prep for Sheldon. Stall series
VKX,7/25/2025,N283WT,USCG fm KVKX IFR & FRZ flight plan.  WX challenges.
4N1,7/25/2025,N283WT,USCG fm KVKX IFR & FRZ flight plan.  WX challenges.
4N1,7/23/2025,N283WT,"USCG To KVKX, IFR & FRZ.  For MCPO-CG COW."
VKX,7/23/2025,N283WT,"USCG To KVKX, IFR & FRZ.  For MCPO-CG COW."
AOO,7/21/2025,N490SP,Last leg home from AOO to 4N1.  Commercial instruction.
4N1,7/21/2025,N490SP,Last leg home from AOO to 4N1.  Commercial instruction.
PKB,7/21/2025,N490SP,Altoona.  Fiesta!  Commercial instruction.
LOU,7/21/2025,N490SP,Bowman Field to Fredrick town West Virginia.  RNAV 03 for Magdy.  Commercial instruction.
H88,7/20/2025,N490SP,Fredricktown regional to Bowman Field.  Commercial instruction.
LOU,7/20/2025,N490SP,Fredricktown regional to Bowman Field.  Commercial instruction.
RVS,7/20/2025,N490SP,New paint with Magdy Wahba. Commercial instruction.
4N1,7/18/2025,N283WT,"Flight review prep for Sheldon.  Stalls, pattern, go around, power off 180."
06N,7/18/2025,N978FA,"141 checkout, PPL & CPL for Ryan Salle"
MGJ,7/18/2025,N316AS,141 Instrument Checkout w/instruction & hood time
BTV,7/11/2025,N283WT,"AUXAIR fm BTV boarder work, then home to 4N1 with Gil Breit. WX avoidance."
4N1,7/11/2025,N283WT,"AUXAIR fm BTV boarder work, then home to 4N1 with Gil Breit. WX avoidance."
FRG,7/10/2025,N283WT,AUXAIR VFR solo home from Checkride.
4N1,7/10/2025,N283WT,AUXAIR VFR solo home from Checkride.
ISP,7/10/2025,N283WT,"AUXAIR Checkride - Aircraft Commander. PS, VS, hold, ILS24, LOC24 @KISP Flight Review WINGS completion."
BTV,7/6/2025,N283WT,"VFR to home, WX avoidance."
4N1,7/6/2025,N283WT,"VFR to home, WX avoidance."
CYHU,7/6/2025,N283WT,Fm St Hubert to Burlington for Customs.
4N1,7/3/2025,N283WT,"To Montreal for Jazz Festival.  St Hubert and HUBFBO.  IFR, ILS24R."
CYHU,7/3/2025,N283WT,"To Montreal for Jazz Festival.  St Hubert and HUBFBO.  IFR, ILS24R."
LNS,7/2/2025,N283WT,Night flight home from LNS.  Dual for Sheldon.
4N1,7/2/2025,N283WT,Night flight home from LNS.  Dual for Sheldon.
4N1,6/30/2025,N3565M,Flight for PA32 potential buyer.  Justin H.
N12,6/29/2025,N283WT,"Lakewood, Caldwell, Greenwood Lake"
4N1,6/29/2025,N283WT,"Lakewood, Caldwell, Greenwood Lake"
CDW,6/29/2025,N283WT,"Lakewood, Caldwell, Greenwood Lake"
4N1,6/26/2025,N283WT,To paragon for broken door.
CDW,6/26/2025,N283WT,To paragon for broken door.
ACK,6/24/2025,N283WT,XC night training for Sheldon
4N1,6/24/2025,N283WT,XC night training for Sheldon
POU,6/24/2025,N283WT,AuxAir home from KPOU solo.
CDW,6/21/2025,N283WT,Home from CDW flight check for SureFly.
4N1,6/21/2025,N283WT,Home from CDW flight check for SureFly.
4N1,6/10/2025,N283WT,VFR night solo to Paragon for Mags Project.
CDW,6/10/2025,N283WT,VFR night solo to Paragon for Mags Project.
HZL,6/10/2025,N283WT,"Home w/Rob Perillo, safety pilot, RNAV06 circle 24.  Flight Review via WINGS, Master 7."
SMQ,6/4/2025,N283WT,VFR home with Gil.
4N1,6/4/2025,N283WT,VFR home with Gil.
W05,6/3/2025,N283WT,VFR from Gettysburg to Lancaster. Tower training with Sheldon.
LNS,6/3/2025,N283WT,VFR from Gettysburg to Lancaster. Tower training with Sheldon.
4N1,6/3/2025,N283WT,VFR XC nigh dual given for Sheldon
ALB,5/27/2025,N283WT,VFR solo XC day. Home to 4N1.
4N1,5/27/2025,N283WT,VFR solo XC day. Home to 4N1.
HPN,5/27/2025,N283WT,"VFR XC and ""C"" airspace instruction for Sheldon."
BID,5/26/2025,N283WT,Home from Block Island
4N1,5/26/2025,N283WT,Home from Block Island
FWQ,5/24/2025,N680MA,IFP and actual and sim for Magdy.  Last leg of the Tulsa pickup.  Commercial instruction.
4N1,5/24/2025,N680MA,IFP and actual and sim for Magdy.  Last leg of the Tulsa pickup.  Commercial instruction.
LUK,5/24/2025,N680MA,RNAV08 circle 26 for Magdy Wahba.  Instrument given 2.6. Commercial instruction.
PCD,5/23/2025,N680MA,VFR with Magdy Wahba on N680MA Ferry.  Commercial instruction.
LUK,5/23/2025,N680MA,VFR with Magdy Wahba on N680MA Ferry.  Commercial instruction.
RVS,5/23/2025,N680MA,"VFR XC to Perryville, MO.  Magdy Wahba as Safety Pilot and student.  Lunch at Al's.  Commercial instruction."
OKM,5/23/2025,N680MA,Test flight for N680MA.  Instrument Approaches with Magdy Wahba .  RNAV01@KRVS & VOR@KOKM.
TEB,5/18/2025,N283WT,"VFR Isabel training, home to 4N1."
4N1,5/18/2025,N283WT,"VFR Isabel training, home to 4N1."
ORF,5/18/2025,N283WT,IFP XC w/Sheldon training. RNAV24 into KTEB.
EOK,5/12/2025,N490SP,"RNAV 22, RNAV 20, rnav01L with Magdy Wahba.    Commercial instruction."
RVS,5/12/2025,N490SP,"RNAV 22, RNAV 20, rnav01L with Magdy Wahba.    Commercial instruction."
GLY,5/12/2025,N490SP,"RNAV 22, RNAV 20, rnav01L with Magdy Wahba.    Commercial instruction."
NVD,5/12/2025,N490SP,"RNAV 22, RNAV 20, rnav01L with Magdy Wahba.    Commercial instruction."
GQQ,5/12/2025,N490SP,VFR XC with Magdy. Commercial instruction.
4N1,5/12/2025,N490SP,Deliver N490SP to Tulsa with Magdy.  RNAV23.  Commercial instruction.
4N1,5/11/2025,N283WT,KCDW training for Sheldon.
CDW,5/11/2025,N283WT,KCDW training for Sheldon.
BLM,5/11/2025,N283WT,"VFR XC and T/O, Landing, Stalls with Isa."
BLM,5/2/2025,N283WT,VFR XC solo night to Home.  USCG
4N1,5/2/2025,N283WT,VFR XC solo night to Home.  USCG
VKX,5/2/2025,N283WT,VFR FRZ flight plan.  With Tommy LaPage... USCG.
HEF,4/28/2025,N283WT,IFR to KVKX with Sam Ten. RNAV06.
VKX,4/28/2025,N283WT,IFR to KVKX with Sam Ten. RNAV06.
HWY,4/28/2025,N283WT,"Approaches and hold. Samuel Ten, PPL4573601."
CJR,4/28/2025,N283WT,"Approaches and hold. Samuel Ten, PPL4573601."
4N1,4/27/2025,N283WT,IFR XC solo to Manassas. USCG SSS week travel.
HEF,4/27/2025,N283WT,IFR XC solo to Manassas. USCG SSS week travel.
MSV,4/24/2025,N4775F,Flight Review for Andrew Tolkar.
CDW,4/24/2025,N4775F,Flight Review for Andrew Tolkar.
N12,4/20/2025,N283WT,VFR from Easter Dinner. Isabel for XC instruction. 1 day and 1 night landing at 4N1.
4N1,4/20/2025,N283WT,VFR from Easter Dinner. Isabel for XC instruction. 1 day and 1 night landing at 4N1.
VKX,4/16/2025,N283WT,USCG from Potomac Airfield to 4N1
4N1,4/16/2025,N283WT,USCG from Potomac Airfield to 4N1
4N1,4/13/2025,N283WT,"IFR FRZ night XC to Potomac, USCG to CGHQ"
VKX,4/13/2025,N283WT,"IFR FRZ night XC to Potomac, USCG to CGHQ"
4N1,4/4/2025,N978FA,Night Currency.  RNAV24 w/hold for Ryan Herman.
4N1,3/29/2025,N283WT,Landings at MSV w/Sheldon
MSV,3/29/2025,N283WT,Landings at MSV w/Sheldon
4N1,3/23/2025,N283WT,Commercial maneuvers
MDT,3/23/2025,N283WT,VFR XC fm Harrisburg with Isabel as student
4N1,3/22/2025,N283WT,VFR XC with Isa to Cirque
MDT,3/22/2025,N283WT,VFR XC with Isa to Cirque
CDW,3/14/2025,N283WT,Tower departure training. Sheldon T.
4N1,3/14/2025,N283WT,Tower departure training. Sheldon T.
N07,2/22/2025,N283WT,High performance endorsement for Brenton VanBeke
4N1,2/22/2025,N283WT,High performance endorsement for Brenton VanBeke
MSV,2/22/2025,N283WT,High performance endorsement for Brenton VanBeke
4N1,2/8/2025,N476SP,141 annual instructor checkout ppl - John DeGroot - satisfactory
DXR,2/8/2025,N476SP,Second part of stage 3 unsat
4N1,2/3/2025,N283WT,Instruction for Sheldon & safety pilot for Hold and RNAV24.
POU,2/3/2025,N283WT,Instruction for Sheldon & safety pilot for Hold and RNAV24.
4N1,2/2/2025,N476SP,Matt Ranaldo - soft & short field lndgs. Unusual attitudes = unsat
06N,2/2/2025,N657SP,Final stage for Yitzy Rosenbloom
4N1,1/25/2025,N476SP,Stage 2 check for Matt Ranaldo - unsat
1B1,1/25/2025,N476SP,Stage 2 check for Matt Ranaldo - unsat
4N1,1/12/2025,N283WT,Night currency at 4n1
N12,1/12/2025,N283WT,N12 to 4N1 USCG to home
PHL,1/12/2025,N283WT,KPHL to N12 for fuel and lunch USCGR
FRG,12/31/2024,N283WT,AuxAir home fm KFRG solo
4N1,12/31/2024,N283WT,AuxAir home fm KFRG solo
ISP,12/27/2024,N283WT,CG Aux home from LIS Ice patrol.
4N1,12/27/2024,N283WT,CG Aux home from LIS Ice patrol.
FOK,12/27/2024,N283WT,CG Aux and Intro to SR22 for Alex Malewski.
BTV,12/26/2024,N222R,"Cg Aux home from Lake ""C"
CDW,12/26/2024,N222R,"Cg Aux home from Lake ""C"
CDW,12/23/2024,N283WT,CG Aux home from CDW VFR Solo
4N1,12/23/2024,N283WT,CG Aux home from CDW VFR Solo
DXR,12/23/2024,N283WT,CG Aux instruction for Dave Davis
44N,12/14/2024,N283WT,VFR home from Breakfast with Santa
4N1,12/14/2024,N283WT,VFR home from Breakfast with Santa
BGM,12/13/2024,N283WT,Home with Kelly and Freya
4N1,12/13/2024,N283WT,Home with Kelly and Freya
MSV,12/1/2024,N283WT,VFR w/Sheldon night home to MSV
4N1,12/1/2024,N283WT,VFR w/Sheldon night home to MSV
JZI,12/1/2024,N283WT,VFR XC fm Charleston to home
HXD,11/30/2024,N283WT,VFR back to JZI
JZI,11/30/2024,N283WT,VFR back to JZI
ISO,11/29/2024,N283WT,VFR XC to Charleston executive
JZI,11/29/2024,N283WT,VFR XC to Charleston executive
4N1,11/29/2024,N283WT,VFR to Kingston Reg. North Carolina.
W29,11/17/2024,N283WT,VFR Night fm key bridge to 4N1.
4N1,11/17/2024,N283WT,VFR Night fm key bridge to 4N1.
4N1,11/16/2024,N283WT,VFR to Key Bridge for the Annapolis Visit
W29,11/16/2024,N283WT,VFR to Key Bridge for the Annapolis Visit
47N,11/14/2024,N283WT,Central Jersey home to 4N1
4N1,11/14/2024,N283WT,Central Jersey home to 4N1
BLM,11/14/2024,N283WT,Monmouth to Central Jersey
VKX,11/14/2024,N283WT,USCG IFR FRZ RNAV14
BLM,11/12/2024,N283WT,USCG IFR FRZ to KVKX. W/ T. LaPage
VKX,11/12/2024,N283WT,USCG IFR FRZ to KVKX. W/ T. LaPage
4N1,11/12/2024,N283WT,USCG VFR to pick up T LaPage
PVG,11/8/2024,N283WT,VFR XC solo night home to 4N1
4N1,11/8/2024,N283WT,VFR XC solo night home to 4N1
VKX,11/8/2024,N283WT,FRZ IFR to Hampton Roads Exec.  W / Heather and Charlie Salls
4N1,11/3/2024,N283WT,FRZ IFR solo XC to KVKX for USCG SLC
VKX,11/3/2024,N283WT,FRZ IFR solo XC to KVKX for USCG SLC
POU,11/3/2024,N283WT,VFR Tower work with Sheldon
MVY,11/2/2024,N283WT,VFR XC night home from MVY & skyline route
4N1,11/2/2024,N283WT,VFR XC night home from MVY & skyline route
CDW,10/29/2024,N283WT,IFR fm KCDW to 4n1 IMC night RNAV06
4N1,10/29/2024,N283WT,IFR fm KCDW to 4n1 IMC night RNAV06
4N1,10/27/2024,N283WT,To CDW to Paragon.
CDW,10/27/2024,N283WT,To CDW to Paragon.
ACY,10/24/2024,N283WT,VFR solo XC.  Home from ACY.
4N1,10/24/2024,N283WT,VFR solo XC.  Home from ACY.
4N1,10/21/2024,N283WT,VFR XC solo to ACY. School board convention 2024.
ACY,10/21/2024,N283WT,VFR XC solo to ACY. School board convention 2024.
BAF,10/6/2024,N283WT,"Night VFR from BAF, NYC Bravo Skyline Route"
4N1,10/6/2024,N283WT,"Night VFR from BAF, NYC Bravo Skyline Route"
MGJ,10/6/2024,N316AS,Final instrument stage check Magdy Wahba
4N1,10/5/2024,N978FA,Stage 1 check. Jordan Cook. Sat.
POU,10/4/2024,N476SP,Inst training for Ryan Herman.  RNAV24
4N1,10/4/2024,N476SP,Inst training for Ryan Herman.  RNAV24
4N1,10/3/2024,N316AS,"IFR w/Ryan Herman, 141 instrument checkout, sat."
OXC,10/3/2024,N316AS,"IFR w/Ryan Herman, 141 instrument checkout, sat."
SWF,10/3/2024,N316AS,"IFR with Magdy Wahba, stage 3 instrument check. Sat."
LNS,9/20/2024,N283WT,Instrument Proficiency and intro to SR22 for Ryan Herman.
4N1,9/20/2024,N283WT,Instrument Proficiency and intro to SR22 for Ryan Herman.
4N1,9/16/2024,N316AS,CFI-I prep with Ryan Herman.
MGJ,9/16/2024,N316AS,CFI-I prep with Ryan Herman.
4N1,9/15/2024,N3565M,CO check on N3565M for Terry.
1B1,9/14/2024,N9563A,Matt Ranaudo home from 1B1
4N1,9/14/2024,N9563A,Matt Ranaudo home from 1B1
4N1,9/13/2024,N283WT,Solo pattern work night lndgs
CPK,9/13/2024,N283WT,IFR fm Chesapeake regional to home
VKX,9/13/2024,N283WT,IFR from Potomac to Chesapeake regional.  VADM Moore and CMC Salls.
4N1,9/10/2024,N283WT,FRZ IFR plan to Potomac.  USCG
VKX,9/10/2024,N283WT,FRZ IFR plan to Potomac.  USCG
4N1,9/6/2024,N490SP,141 Annual check with Chris Straub
MVY,9/4/2024,N283WT,VFR night XC w/ Sheldon & Elena
4N1,9/4/2024,N283WT,VFR night XC w/ Sheldon & Elena
N79,9/2/2024,N283WT,Fm Northumberland home to 4N1
4N1,9/2/2024,N283WT,Fm Northumberland home to 4N1
CGF,9/2/2024,N283WT,"VFR fm Cleveland to Northumberland, $4.99 fuel!"
4N1,8/31/2024,N283WT,IFR to Cleveland w/Isa
CGF,8/31/2024,N283WT,IFR to Cleveland w/Isa
ITH,8/25/2024,N283WT,VFR home fm Ithaca
4N1,8/25/2024,N283WT,VFR home fm Ithaca
4N1,8/24/2024,N3565M,Prebuy flight test w/Daniel Castro
4N1,8/23/2024,N375MT,VFR CamGuard Flight for Matt.
4N1,8/21/2024,N316AS,Stage 3 Commercial with Aaron M.
PVC,8/17/2024,N283WT,IFR solo from Provincetown to 4N1.  RNAV24
4N1,8/17/2024,N283WT,IFR solo from Provincetown to 4N1.  RNAV24
47N,8/16/2024,N283WT,Home from 47N
4N1,8/16/2024,N283WT,Home from 47N
4N1,8/10/2024,N283WT,XWind Landings with Sheldon
MSV,8/10/2024,N283WT,XWind Landings with Sheldon
CDW,8/10/2024,N283WT,VFR solo home from Paragon.
4N1,8/4/2024,N283WT,Flight to CDW with Sheldon
CDW,8/4/2024,N283WT,Flight to CDW with Sheldon
4N1,8/3/2024,N283WT,Second flight with the Navy guys.
ACY,8/2/2024,N283WT,VFR XC Solo home from KACY.
4N1,8/2/2024,N283WT,VFR XC Solo home from KACY.
LCI,8/1/2024,N2618L,From KLCI to Caldwell.
CDW,8/1/2024,N2618L,From KLCI to Caldwell.
MMU,8/1/2024,N2618L,To KLCI with Frank Ferrari
BID,7/28/2024,N283WT,Home from Block.
4N1,7/28/2024,N283WT,Home from Block.
4N1,7/27/2024,N316AS,Instrument lesson 16 with Magdy W.
MSV,7/27/2024,N283WT,From KMSV with Sheldon.
4N1,7/21/2024,N283WT,USCG to DXR to see Quincy Lawton
DXR,7/21/2024,N283WT,USCG to DXR to see Quincy Lawton
CDW,7/21/2024,N222R,"CG Aux flight instrument training search pattern RNAV24, XC Instruction, for Larry Williamson."
FOK,7/21/2024,N222R,"CG Aux flight instrument training search pattern RNAV24, XC Instruction, for Larry Williamson."
4N1,7/20/2024,N978FA,Pattern with Jordan Cook
06N,7/20/2024,N657SP,Commercial Check Ride Prep.  Issac Kerr.
MSV,7/19/2024,N283WT,Home from Sullivan County.
4N1,7/19/2024,N283WT,Home from Sullivan County.
SCH,7/14/2024,N222R,"CGAux flight, area dam and patrol with Larry Williamson"
CDW,7/14/2024,N222R,"CGAux flight, area dam and patrol with Larry Williamson"
4N1,7/13/2024,N316AS,Instrument and annual proficiency check for Eric Sweetster @ Sky Training
MGJ,7/13/2024,N316AS,Instrument and annual proficiency check for Eric Sweetster @ Sky Training
4N1,7/8/2024,N283WT,XC training with Sheldon
MSV,7/8/2024,N283WT,XC training with Sheldon
06N,7/8/2024,N490SP,Instructor interview Ryan Ortiz for Tim
ACY,7/8/2024,N283WT,IFR ACY to 4N1.  Mike and Sharron
4N1,7/7/2024,N283WT,VFR skyline route to AC with Mike and Sharron
ACY,7/7/2024,N283WT,VFR skyline route to AC with Mike and Sharron
1B1,7/7/2024,N978FA,Stage 2 check for Benton Shelton
4N1,7/6/2024,N283WT,IFP ILS27 with Sheldon.  Actual.
PVD,7/3/2024,N283WT,Home from KPVD.
4N1,7/3/2024,N283WT,Home from KPVD.
CDW,7/2/2024,N822BW,Airline Transport Pilot MultiEngine Land - Flight Test Passed.  William Greg Hill DPE#999995576 Expires 8/24.
MGJ,7/2/2024,N822BW,Airline Transport Pilot MultiEngine Land - Flight Test Passed.  William Greg Hill DPE#999995576 Expires 8/24.
CDW,7/1/2024,N822BW,Checkride prep with Salah Alsaidi.
MGJ,7/1/2024,N822BW,Checkride prep with Salah Alsaidi.
CDW,6/28/2024,N822BW,KMJX practice approaches. Precautionary shutdown.  Steep turns
MJX,6/28/2024,N822BW,KMJX practice approaches. Precautionary shutdown.  Steep turns
4N1,6/28/2024,N978FA,Lesson 2.
CDW,6/27/2024,N822BW,"ATP-MEL prep, steep turns, power off/on stalls, emergency decent, ILS04x2, VOR08. Salah Alsaidi, 408113CFI, exp 8/25."
MGJ,6/27/2024,N822BW,"ATP-MEL prep, steep turns, power off/on stalls, emergency decent, ILS04x2, VOR08. Salah Alsaidi, 408113CFI, exp 8/25."
CDW,6/26/2024,N822BW,"Steep turns, single engine approaches, slow flight, power off/on stalls, single engine landing, ILS04x2, RNAV22.  Salah Alsaidi, 4008113CFI, exp 8/25."
4N1,6/25/2024,N476SP,Stage 1 check - Ira
06N,6/25/2024,N476SP,Stage 1 check - Ira
BDR,6/25/2024,N657SP,VFR Nav to Bridgeport
4N1,6/23/2024,N283WT,Intro to SR22 for Chris Luccarelli
CDW,6/21/2024,N283WT,Home from annual
4N1,6/21/2024,N283WT,Home from annual
4N1,6/19/2024,N316AS,Stage 3 prep for Joe Fiorella.
N07,6/17/2024,N375MT,Intro to the SR22.  Drop Salah off at CDW.
CDW,6/17/2024,N375MT,Intro to the SR22.  Drop Salah off at CDW.
N12,6/16/2024,N375MT,FM Lakewood to Lincoln Park with Isa.
N07,6/16/2024,N375MT,FM Lakewood to Lincoln Park with Isa.
CDW,6/16/2024,N375MT,To Lakewood with Isa for Father's Day.
PVG,6/14/2024,N375MT,VFR XC solo.  Home from Hampton roads Exec.  USCGR.  LANTAREA COW.
N07,6/14/2024,N375MT,VFR XC solo.  Home from Hampton roads Exec.  USCGR.  LANTAREA COW.
N07,6/13/2024,N375MT,VFR XC solo.  To Hampton Roads Exec.  USCGR
PVG,6/13/2024,N375MT,VFR XC solo.  To Hampton Roads Exec.  USCGR
CDW,6/13/2024,N711AV,"ATP prep.  Steep turns, single engine approach. Salah Alsaidi, 4008113CFI, exp 8/25."
MGJ,6/13/2024,N711AV,"ATP prep.  Steep turns, single engine approach. Salah Alsaidi, 4008113CFI, exp 8/25."
4N1,6/11/2024,N375MT,Move 375MT to Lincoln Park. Airshow weekend.
N07,6/11/2024,N375MT,Move 375MT to Lincoln Park. Airshow weekend.
CDW,6/10/2024,N711AV,"ATP-MEL Checkride prep.  Steep turns, ILS04 single engine landing, ILS04 no flaps landing, RNAV22 short field landing."
MGJ,6/10/2024,N711AV,"ATP-MEL Checkride prep.  Steep turns, ILS04 single engine landing, ILS04 no flaps landing, RNAV22 short field landing."
CDW,6/7/2024,N711AV,"No flap landing, short filed landing.  ATPMEL prep.  Salah Alsaidi, 4008113CFI, exp 8/25."
GON,6/7/2024,N543FL,CG Aux.  Avionics Training. Ted Piltzecker.
4N1,6/5/2024,N476SP,Stage 1 check for Azusa T. Sat.
CDW,6/4/2024,N711AV,"ATP Multi prep, steep turns, power off, power on, slow flight, single engine app, ILS04.  Sales Alsaidi, 4008113CFI, exp 8/25."
MGJ,6/4/2024,N711AV,"ATP Multi prep, steep turns, power off, power on, slow flight, single engine app, ILS04.  Sales Alsaidi, 4008113CFI, exp 8/25."
GON,6/3/2024,N6781M,"CG Aux training flight.  VS search pattern, EWR transition, RNAV04 at CDW."
CDW,6/3/2024,N6781M,"CG Aux training flight.  VS search pattern, EWR transition, RNAV04 at CDW."
MGJ,6/1/2024,N442AD,"ATP Plane Familiarization, ILS04&36.  Eric Jordan, 4490666, exp 10/25."
OXC,6/1/2024,N442AD,"ATP Plane Familiarization, ILS04&36.  Eric Jordan, 4490666, exp 10/25."
CDW,5/31/2024,N711AV,"Power on power off. Steep turns. T/os and LNDGS. Salah Alsaidi, 4008113CFI, exp 08/26."
MGJ,5/31/2024,N711AV,"Power on power off. Steep turns. T/os and LNDGS. Salah Alsaidi, 4008113CFI, exp 08/26."
4N1,5/30/2024,N375MT,Night currency. KMGJ. RWY04 and RWY24
MGJ,5/30/2024,N375MT,Night currency. KMGJ. RWY04 and RWY24
4N1,5/26/2024,N283WT,VFR solo to Caldwell.  Dropped off WT at Paragon for the Annual.
CDW,5/26/2024,N283WT,VFR solo to Caldwell.  Dropped off WT at Paragon for the Annual.
ELM,5/26/2024,N283WT,VFR from Elmira to home.
MGJ,5/24/2024,N283WT,Home from Take Flight Lesson
4N1,5/24/2024,N283WT,Home from Take Flight Lesson
PVC,5/24/2024,N283WT,XC instruction with Sheldon
4N1,5/23/2024,N283WT,"Provincetown.  IFP, XC training. Sheldon"
PVC,5/23/2024,N283WT,"Provincetown.  IFP, XC training. Sheldon"
MGJ,5/23/2024,N283WT,T/O and LNG practice with Sheldon at MGJ
MGJ,5/22/2024,N442AD,"ATP-MEL DA42 Intro See FSP. Eric Jordan, 4490666CFI, Exp 10/25."
MGJ,5/18/2024,N283WT,Landing practice with Sheldon.
4N1,5/18/2024,N283WT,Landing practice with Sheldon.
PVG,5/17/2024,N283WT,Home from Hampton Roads Exec. IFP IMC XC
4N1,5/17/2024,N283WT,Home from Hampton Roads Exec. IFP IMC XC
4N1,5/16/2024,N283WT,Hampton Roads Exec for LANTAREA COW.
PVG,5/16/2024,N283WT,Hampton Roads Exec for LANTAREA COW.
UUU,5/10/2024,N283WT,"Newport to home. IFR solo XC.  RNAV06 at 4N1, vectors to final."
4N1,5/10/2024,N283WT,"Newport to home. IFR solo XC.  RNAV06 at 4N1, vectors to final."
4N1,5/9/2024,N283WT,Newport for NAPS Ball and Graduation
UUU,5/9/2024,N283WT,Newport for NAPS Ball and Graduation
POU,5/4/2024,N222R,"USCG Aux.  Hudson to VZ, Newark transition, to Caldwell. XWind landing."
